family,index,method,theta_high,rmse_high,rmse_low,global_rmse,global_rmse_sq,decomposed_rmse_sq,abs_decomposition_error
edge_rolloff,0,afp_poly_residual_phs,0.19999999999999996,0.001150647331509359,0.0005775720590777088,0.0007293425380978233,5.319405378789748e-07,5.316694430437331e-07,2.7109483524170577e-10
edge_rolloff,0,afp_exchange_poly_residual_phs,0.19999999999999996,0.000631001275800634,0.0005908418163161013,0.0005991003210759034,3.5892119471325053e-07,3.589077635385733e-07,1.34311746772155e-11
edge_rolloff,1,afp_poly_residual_phs,0.19999999999999996,0.0016139236144778978,0.0008682037186727888,0.0010604143988154828,1.1244786972152017e-06,1.1239720443676877e-06,5.066528475140892e-10
edge_rolloff,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.0010140975181729664,0.0008344174183460715,0.0008733679707357123,7.627716123070161e-07,7.626806977043723e-07,9.091460264380145e-11
edge_rolloff,2,afp_poly_residual_phs,0.19999999999999996,0.0015251779490019267,0.0008457480484476816,0.001018776863768477,1.037906298149934e-06,1.0374653643867942e-06,4.409337631398054e-10
edge_rolloff,2,afp_exchange_poly_residual_phs,0.19999999999999996,0.0010066301222811354,0.0008055270629007136,0.0008496232533913111,7.218596727032359e-07,7.217599198691068e-07,9.975283412909638e-11
edge_rolloff,3,afp_poly_residual_phs,0.19999999999999996,0.0018112607236470022,0.0009443058642142283,0.0011705374168017825,1.3701578441329899e-06,1.3695039339567567e-06,6.539101762331901e-10
edge_rolloff,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.0009745969143219032,0.0009067001718279329,0.0009206991658658919,8.47686954026149e-07,8.476519903553975e-07,3.4963670751505645e-11
edge_rolloff,4,afp_poly_residual_phs,0.19999999999999996,0.0014390746687582094,0.0007315045800819847,0.000917979702566026,8.426867343232095e-07,8.422663409970467e-07,4.2039332616284374e-10
edge_rolloff,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0009634105930967024,0.0006032809592530217,0.0006906118768326433,4.769447644223061e-07,4.7679032681598484e-07,1.544376063212313e-10
local_bump,0,afp_poly_residual_phs,0.19999999999999996,0.0019574923848773335,0.0004044522261842736,0.0009477471381712443,8.982246379117836e-07,8.972205699828818e-07,1.0040679289017572e-09
local_bump,0,afp_exchange_poly_residual_phs,0.19999999999999996,0.00046558770294173667,0.0005519624461857361,0.0005357801393954461,2.8706035777060363e-07,2.870844154255858e-07,2.405765498217179e-11
local_bump,1,afp_poly_residual_phs,0.19999999999999996,0.0018470878223037872,0.0005140274353972315,0.0009458264072374354,8.94587592627675e-07,8.937260481334333e-07,8.615444942417245e-10
local_bump,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.000930131214250019,0.00036588901349250897,0.0005294608543187614,2.8032879625595265e-07,2.8012863130006006e-07,2.0016495589259044e-10
local_bump,2,afp_poly_residual_phs,0.19999999999999996,0.0012690915469847578,0.00042568051098872177,0.0006837200049087426,4.674730451124111e-07,4.670817888741285e-07,3.912562382825662e-10
local_bump,2,afp_exchange_poly_residual_phs,0.19999999999999996,0.00027909427138833316,0.00037868624544689305,0.00036094793112104813,1.302834089805649e-07,1.3030134045688853e-07,1.7931476323612865e-11
local_bump,3,afp_poly_residual_phs,0.19999999999999996,0.0007153777479878494,0.00016005948742685167,0.0003506869905107737,1.229813653135035e-07,1.2284829607551056e-07,1.3306923799294236e-10
local_bump,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.00028241869677167594,0.0001599039594428063,0.000190846321338941,3.642231836860632e-08,3.640748505363168e-08,1.4833314974641146e-11
local_bump,4,afp_poly_residual_phs,0.19999999999999996,0.0018139362121536553,0.0005565151287659568,0.0009521848875311794,9.066560600427648e-07,9.058401871887815e-07,8.158728539833135e-10
local_bump,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0010683129885219107,0.0006427455515680061,0.0007476331455743473,5.589553203613933e-07,5.587560035372915e-07,1.993168241017227e-10
mid_frequency_undulation,0,afp_poly_residual_phs,0.19999999999999996,0.0005773527110496106,0.00046151913446342496,0.00048692925412650265,2.371000985241922e-07,2.3706715977196217e-07,3.2938752230026516e-11
mid_frequency_undulation,0,afp_exchange_poly_residual_phs,0.19999999999999996,0.00018986360883012067,0.0004105524115634338,0.00037685009547813926,1.4201599446188267e-07,1.4205226410404033e-07,3.6269642157657996e-11
mid_frequency_undulation,1,afp_poly_residual_phs,0.19999999999999996,0.000870434707807592,0.00023184271669698096,0.0004412763614928404,1.9472482721235995e-07,1.9453215233956683e-07,1.926748727931142e-10
mid_frequency_undulation,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.00027617116150786597,0.0002508843011461749,0.00025614858226944185,6.561209619864502e-08,6.56084481390044e-08,3.648059640620345e-12
mid_frequency_undulation,2,afp_poly_residual_phs,0.19999999999999996,0.0004013545417476678,0.0001385028386078531,0.0002181796612536987,4.760236458477872e-08,4.7563522678242476e-08,3.884190653624102e-11
mid_frequency_undulation,2,afp_exchange_poly_residual_phs,0.19999999999999996,0.0001956281139345914,0.00017216272417699513,0.0001771113688973843,3.136843699270535e-08,3.136607466915638e-08,2.362323548968762e-12
mid_frequency_undulation,3,afp_poly_residual_phs,0.19999999999999996,0.0004873194931960632,0.0003238512252645299,0.00036254109612362156,1.3143604637851702e-07,1.313997505740434e-07,3.62958044736172e-11
mid_frequency_undulation,3,afp_exchange_poly_residual_phs,0.19999999999999996,0.00019886611391221174,0.00027650065062660267,0.0002627956095328228,6.906153238972786e-08,6.907163409005663e-08,1.0101700328766988e-11
mid_frequency_undulation,4,afp_poly_residual_phs,0.19999999999999996,0.000808808935921847,0.00020349471080535452,0.0004051298354791943,1.6413018359539902e-07,1.6396245682600994e-07,1.6772676938908047e-10
mid_frequency_undulation,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.0002691081630413324,0.00021612867186044104,0.00022772825840289534,5.186015967521587e-08,5.185312292322262e-08,7.036751993249477e-12
smooth_low_variation,0,afp_poly_residual_phs,0.19999999999999996,3.6385204512485903e-05,1.3850798256312769e-05,2.045879214187189e-05,4.1856217590431895e-10,4.182523113527463e-10,3.0986455157266205e-13
smooth_low_variation,0,afp_exchange_poly_residual_phs,0.19999999999999996,1.3711406614599736e-05,9.473946720427417e-06,1.046097317976303e-05,1.0943195986772145e-10,1.094050674393758e-10,2.689242834564577e-14
smooth_low_variation,1,afp_poly_residual_phs,0.19999999999999996,0.0004063516197844351,0.00015232826705177468,0.0002272142042893462,5.1626294630840754e-08,5.158744853468425e-08,3.884609615650541e-11
smooth_low_variation,1,afp_exchange_poly_residual_phs,0.19999999999999996,0.00014517542370130466,0.0001649273545264444,0.0001611655358938182,2.5974329959941606e-08,2.5976006546243854e-08,1.6765863022481458e-12
smooth_low_variation,2,afp_poly_residual_phs,0.19999999999999996,8.608556412650044e-05,2.7492335632867016e-05,4.570152383247523e-05,2.0886292806103015e-09,2.086807685035731e-09,1.821595574570481e-12
smooth_low_variation,2,afp_exchange_poly_residual_phs,0.19999999999999996,4.280582365336769e-05,3.7258863718615694e-05,3.843393829290937e-05,1.4771676127031651e-09,1.477046048210544e-09,1.2156449262110012e-13
smooth_low_variation,3,afp_poly_residual_phs,0.19999999999999996,0.00018809136214368734,6.812798038079326e-05,0.00010390968610713687,1.0797222866883712e-08,1.0788809471226147e-08,8.413395657565058e-12
smooth_low_variation,3,afp_exchange_poly_residual_phs,0.19999999999999996,6.992380920835794e-05,8.218004580506791e-05,7.987618845584937e-05,6.380205482234365e-09,6.380715761659817e-09,5.102794254519659e-13
smooth_low_variation,4,afp_poly_residual_phs,0.19999999999999996,0.00018056354709550243,5.079241070780864e-05,9.269709898327252e-05,8.592752159914622e-09,8.584534096350515e-09,8.218063564107682e-12
smooth_low_variation,4,afp_exchange_poly_residual_phs,0.19999999999999996,0.00011589424229036443,7.29791611309874e-05,8.336234227905051e-05,6.9492801102495725e-09,6.947061446717636e-09,2.2186635319361515e-12
