family,index,layout,rbf,global_rmse,local_rmse,p95_abs,condition,success
smooth_low_variation,0,afp,phs,5.418862965464429e-05,0.00011062720708030692,0.00010060593354559936,nan,True
smooth_low_variation,0,afp,gaussian,1.064159825682575e-06,2.163033671238117e-06,1.6255167933968665e-06,nan,True
smooth_low_variation,0,hessian_weighted,phs,3.936672028342053e-05,7.078224198910048e-05,7.137975524842185e-05,nan,True
smooth_low_variation,0,hessian_weighted,gaussian,1.251402954785584e-06,2.1979439273692834e-06,2.2959547512963916e-06,nan,True
smooth_low_variation,1,afp,phs,8.732078708137823e-05,0.00015610335843113774,0.00018759378931138774,nan,True
smooth_low_variation,1,afp,gaussian,8.50609607187879e-06,1.6131900850933196e-05,1.5601421276980817e-05,nan,True
smooth_low_variation,1,hessian_weighted,phs,0.00012201535836270877,0.00019041428923488815,0.00028222771408545084,nan,True
smooth_low_variation,1,hessian_weighted,gaussian,8.976016501574887e-06,1.2551315869937273e-05,2.1643756970883554e-05,nan,True
smooth_low_variation,2,afp,phs,0.00010631146303752456,0.00018529171326586727,0.0002499252202543458,nan,True
smooth_low_variation,2,afp,gaussian,1.7660867272676734e-06,3.4427359024932185e-06,2.590929376707768e-06,nan,True
smooth_low_variation,2,hessian_weighted,phs,8.231793957740997e-05,0.00012696444830116718,0.00019454244328437342,nan,True
smooth_low_variation,2,hessian_weighted,gaussian,1.7446225190412542e-06,2.7972680482672093e-06,4.054052965200231e-06,nan,True
smooth_low_variation,3,afp,phs,7.425128745078703e-05,0.00012031562719273235,0.00018052638227902817,nan,True
smooth_low_variation,3,afp,gaussian,5.50193778766901e-06,9.828855342584043e-06,1.0470968384166529e-05,nan,True
smooth_low_variation,3,hessian_weighted,phs,6.339576479911663e-05,7.882971810297239e-05,0.00014912835143571449,nan,True
smooth_low_variation,3,hessian_weighted,gaussian,1.1749088752989146e-06,1.243331370992216e-06,2.5784333557129016e-06,nan,True
smooth_low_variation,4,afp,phs,9.957000882092997e-05,0.00019019422044135495,0.00018603986299646881,nan,True
smooth_low_variation,4,afp,gaussian,4.509727405358466e-06,8.230892951910179e-06,9.397143119125456e-06,nan,True
smooth_low_variation,4,hessian_weighted,phs,6.218810264721176e-05,6.627849364160243e-05,0.00014528157837042917,nan,True
smooth_low_variation,4,hessian_weighted,gaussian,7.606432079536581e-06,8.349406645906258e-06,1.5915872574096337e-05,nan,True
edge_rolloff,0,afp,phs,0.00109689126685335,0.001880593807479972,0.002528074434749634,nan,True
edge_rolloff,0,afp,gaussian,0.00043591060225274666,0.000859608100395993,0.0007524330826406272,nan,True
edge_rolloff,0,hessian_weighted,phs,0.0010002972840079077,0.0015294344320403112,0.0023337594601684636,nan,True
edge_rolloff,0,hessian_weighted,gaussian,0.0004928757630635751,0.0006942068850131844,0.0011979133300222822,nan,True
edge_rolloff,1,afp,phs,0.0008636164469917668,0.001468048196224611,0.0018906012953536066,nan,True
edge_rolloff,1,afp,gaussian,0.00038752731408926765,0.0006716009859820683,0.0005654548779203059,nan,True
edge_rolloff,1,hessian_weighted,phs,0.0010363970668574641,0.0013900884158936362,0.002171012110523933,nan,True
edge_rolloff,1,hessian_weighted,gaussian,0.00043432808879270224,0.0008103041255659697,0.0005891250697184734,nan,True
edge_rolloff,2,afp,phs,0.0012788798145833978,0.0022173602801274987,0.0029409060611975193,nan,True
edge_rolloff,2,afp,gaussian,0.00037438529364298496,0.000751997110421705,0.0006583257977581542,nan,True
edge_rolloff,2,hessian_weighted,phs,0.0013224900221023197,0.0021797000521734913,0.002931312495003251,nan,True
edge_rolloff,2,hessian_weighted,gaussian,0.0005125892030214967,0.0009046698841986834,0.0011293009229248231,nan,True
edge_rolloff,3,afp,phs,0.0008717307444465919,0.001439244811247647,0.002036664683085226,nan,True
edge_rolloff,3,afp,gaussian,0.0003169184726279667,0.0006160393205972786,0.0005067752014613972,nan,True
edge_rolloff,3,hessian_weighted,phs,0.001134943582677802,0.001718843814997434,0.002621281550265005,nan,True
edge_rolloff,3,hessian_weighted,gaussian,0.0005751872709895547,0.0008943611072382885,0.00121903869618303,nan,True
edge_rolloff,4,afp,phs,0.0013462658254749925,0.002257184942910852,0.0031103007906385406,nan,True
edge_rolloff,4,afp,gaussian,0.000429450741074397,0.0007831700260371671,0.0008703768303238713,nan,True
edge_rolloff,4,hessian_weighted,phs,0.0016785286377651774,0.0025747737713155625,0.003749889460514082,nan,True
edge_rolloff,4,hessian_weighted,gaussian,0.000666127532906857,0.0010278428042781523,0.00138257485831874,nan,True
local_bump,0,afp,phs,0.0007950632942641847,0.001348534414008348,0.0016807006949366295,nan,True
local_bump,0,afp,gaussian,0.021005446000508493,0.04071101633586534,0.03515927204524186,nan,True
local_bump,0,hessian_weighted,phs,0.0009871791021196538,0.0011113784528217362,0.002409283860383004,nan,True
local_bump,0,hessian_weighted,gaussian,0.014432233553885834,0.016676594883323355,0.03363761198998931,nan,True
local_bump,1,afp,phs,0.0007661819595273834,0.001417840124368708,0.0017014302841635524,nan,True
local_bump,1,afp,gaussian,0.0020587557749223496,0.003233735808123137,0.0041641474027131805,nan,True
local_bump,1,hessian_weighted,phs,0.0005446431704508384,0.0005859423090673337,0.0012500734275899248,nan,True
local_bump,1,hessian_weighted,gaussian,0.006852665769779911,0.005642214344445417,0.014857258804484953,nan,True
local_bump,2,afp,phs,0.0007392393290110605,0.0013313928426133415,0.0015455108726724386,nan,True
local_bump,2,afp,gaussian,0.008080006340817526,0.01349556058336703,0.017558102440985143,nan,True
local_bump,2,hessian_weighted,phs,0.0008289791220016196,0.001012066890163609,0.0018291080112961258,nan,True
local_bump,2,hessian_weighted,gaussian,0.007587067539955777,0.008143187174967497,0.01761010987162071,nan,True
local_bump,3,afp,phs,0.00029580726752683075,0.0005777155819651193,0.0005611832449404228,nan,True
local_bump,3,afp,gaussian,0.00542541689347788,0.010067510764493972,0.009080263796838895,nan,True
local_bump,3,hessian_weighted,phs,0.0003339622637287483,0.0005622038856456334,0.0008512538509369563,nan,True
local_bump,3,hessian_weighted,gaussian,0.00640479924076368,0.006452081589755157,0.011650823989058444,nan,True
local_bump,4,afp,phs,0.0012982312181719182,0.0021500065388667623,0.002938754452704023,nan,True
local_bump,4,afp,gaussian,0.018932799695867687,0.03164471022982648,0.04646858603879638,nan,True
local_bump,4,hessian_weighted,phs,0.0012790773301184061,0.002191224572948944,0.0029009865147109526,nan,True
local_bump,4,hessian_weighted,gaussian,0.004086635336404615,0.003831105082311641,0.009136201405898312,nan,True
mid_frequency,0,afp,phs,0.00028620272207057103,0.0004329206422144217,0.0006360967359247635,nan,True
mid_frequency,0,afp,gaussian,0.0008435147054629588,0.0015697174793624365,0.0015145294699217306,nan,True
mid_frequency,0,hessian_weighted,phs,0.0002395837253216169,0.00033544981852163484,0.0005337300927134047,nan,True
mid_frequency,0,hessian_weighted,gaussian,0.000630929517965201,0.0007444150226318748,0.0014969593899259118,nan,True
mid_frequency,1,afp,phs,0.000292177504918785,0.000529776872036564,0.0005745982953594604,nan,True
mid_frequency,1,afp,gaussian,0.0015366843458764431,0.0032425291385179927,0.0030017428120862385,nan,True
mid_frequency,1,hessian_weighted,phs,0.00022762461804538776,0.0002340059140278062,0.0005493249285524453,nan,True
mid_frequency,1,hessian_weighted,gaussian,0.0006646758430583485,0.0009085186378730885,0.0015643940240272097,nan,True
mid_frequency,2,afp,phs,0.00018367911410695057,0.00024241736401252892,0.0003958045079911008,nan,True
mid_frequency,2,afp,gaussian,0.0001183812640352267,0.00017298807337373485,0.0002761045058171704,nan,True
mid_frequency,2,hessian_weighted,phs,0.00018796300528293325,0.00020290604352036,0.0004444800507734741,nan,True
mid_frequency,2,hessian_weighted,gaussian,0.0001514432481414841,0.0002142800240162636,0.00033032807635594366,nan,True
mid_frequency,3,afp,phs,0.0003870875747419523,0.0007132903415248356,0.0007258599493806994,nan,True
mid_frequency,3,afp,gaussian,0.0013343323187118283,0.002755613657683153,0.0022665026165224963,nan,True
mid_frequency,3,hessian_weighted,phs,0.00026583723202066873,0.0002726008819133157,0.0005989435006958153,nan,True
mid_frequency,3,hessian_weighted,gaussian,0.0008394339075586135,0.0011667996672927396,0.0013799940012631604,nan,True
mid_frequency,4,afp,phs,0.00022886453442817883,0.0003149668333020691,0.0004875386965046951,nan,True
mid_frequency,4,afp,gaussian,0.0012613617428591166,0.0020840558464610736,0.002612442283609087,nan,True
mid_frequency,4,hessian_weighted,phs,0.00036996627631525724,0.00032858839791654584,0.0008099477435008452,nan,True
mid_frequency,4,hessian_weighted,gaussian,0.0007917011388285625,0.0006041837154252869,0.0014605199419421063,nan,True
